codigo,nombre,sucursales,num_sucursales
7500463886621,DULCE RICA TENTASION GOMIMANGO 100 GR.,Alcala|Coronado|Xochimilco|Glorieta|JR|Santa Monica,6
835143001795,NATURAL TEA JAZMIN SIN AZUCAR 1.892 LTS.,Alcala|Coronado|Xochimilco|Glorieta|JR|Santa Monica,6
TRAPEADOR DE MICROFIBRA H2NO,TRAPEADOR DE MICROFIBRA H2NO,Alcala|Coronado|Xochimilco|Glorieta|JR|Santa Monica,6
8935102111977,CEPILLO DENTAL PREMIER COLGATE,Coronado|Xochimilco|Glorieta|JR|Santa Monica,5
613008765224,TE ARIZONA SABOR MUCHO MANGO 460ML,Alcala|Xochimilco|Glorieta|JR|Santa Monica,5
123456789123,VASO PREPARADO C/JUGO DE TOMATE SR MEZCLAS,Alcala|Xochimilco|Glorieta|JR|Santa Monica,5
8699462609924,CHOCOLATES LEXUS HAZELNUT 110GR,Alcala|Xochimilco|Glorieta|Santa Monica,4
7501011189119,DULCE MANCHA T GOMITAS ENCH. 50 GR.,Xochimilco|Glorieta|JR,3
7501011159969,PINTA FRUT INSPIREKA OBLEAS,Xochimilco|Glorieta|JR,3
7503041652373,PULPA P/MICHELADA MANGO SHILEMIX 500GR,Xochimilco|Glorieta|JR,3
7500478044184,CHETOS COLMILLOS 27GR,Coronado|JR,2
7501056901882,CHICLE TRIDENT XTRA CARE FRESHMINT 13.6G,Coronado|JR,2
7501011140776,INSPIREKA ARMABLE 32 OZ.,Glorieta|JR,2
7501011138865,INSPIREKA CONSTRU-Y SONRICS 49 GRS,Xochimilco|Glorieta,2
7501040044533,PIZZA PEPPERONI FUD INDIVIDUAL,Glorieta|JR,2
7501040081910,QUESO REBANADO MONTEREY JACK LA VILLITA 210GR,Alcala|Coronado,2
7501361151118,BIBERON ANATOMICO BABY,Xochimilco,1
7501020562026,CREMA DESLACTOSADA LALA LIGHT 426 G,Coronado,1
882,F.V AMARTAJADO GRANDE,JR,1
7501073841178,PEÑAFIEL TORONJADA SIN CALORIAS 600 ML,Coronado,1
7501518475852,QUESO PARA NACHOS TRES CASTILLOS 1KG,JR,1
7500435154420,RASTRILLO GILLETTE PRESTOBARBA 2 INDIVIDUAL,Xochimilco,1
7501011176904,ROCKALETA 26G,JR,1
7500478027361,RUFFLES FLAMIN HOT 185G.,JR,1
7500478028672,SABRITAS CACAHUATES KACANG FLAMIN HOT 67G,Santa Monica,1
7501011182417,SABRITAS CHEETOS COLMILLOS 100GR,JR,1
7501011159242,SABRITAS RECETA CRUJIENTE FLAMING HOT 49 GR.,Coronado,1
846548070330,SNACK TRAIL MIX NATURES GARDEN ORGANIC VARIAS 34G,Xochimilco,1
857468006637,SNACK TRAIL MIX POWER UP 43G,Xochimilco,1
7501055307678,SODA COCA COLA FANTA NARANJA MINI 250ML,Xochimilco,1
7503022581098,TORTILLAS Y TOSTADAS,Alcala,1
7501040098109,YOGHURT YOPLAIT GRIEGO 120GR,Glorieta,1
7501040098147,YOGHURT YOPLAIT GRIEGO FRESA 1 KG.,Xochimilco,1
7501040098116,YOGHURT YOPLAIT GRIEGO FRESA 120GR,Glorieta,1
